fabricant;modele;annee;prix;puissance_cumul;couple_cumul;0_100_km_h;vitesse_max;position_moteur_1;puissance_moteur_1;type_moteur_1;couple_moteur_1;position_moteur_2;puissance_moteur_2;type_moteur_2;couple_moteur_2;position_moteur_3;puissance_moteur_3;type_moteur_3;couple_moteur_3;capacite_nominale_brute;capacite_utile_nette;prise_de_charge_AC;prise_de_charge_DC;vitesse_de_charge_AC;vitesse_de_charge_DC;refroidissement;;temps_de_charge_DC_0-80%;temps_de_charge_AC_0-80%_prise_dom;temps_de_charge_AC_0-80%_prise_dom_renforcee;temps_de_charge_AC_0-80%_wallbox;autonomie_electrique_mixte;conso_electrique;pompe_a_chaleur;;motricite;rapports;longueur;empattement;hauteur;largeur;coffre;poids;coffre_avant_arriere;;essieu_avant;essieu_arriere;base_chassis;plateforme;pneus;pneus_arriere
Hyundai;Ioniq;2020;34900 €;136 ch;295 Nm;9.9 secondes;165 km/h;Avant;136 ch;Aimant permanent (synchrone);295 Nm;;;;;;;;;41 kWh;38.3 kWh;Type 2;CCS Combo;7.2 kW;44 kW;Liquide;;58 min. à 44 kW;14h26 à 2.3 kW;11h04 à 3 kW;4h37 à 7.2 kW;311 km;13.8 kWh/100km;Oui;;Traction;1;4.47 m;2.7 m;1.445 m;1.72 m;357 Litres;1602 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/55 R 16;
Hyundai;Kona;2018;39100 €;136 ch;395 Nm;9.7 secondes;155 km/h;Avant;136 ch;Aimant permanent (synchrone);395 Nm;;;;;;;;;41 kWh;39.2 kWh;Type 2;CCS Combo;7.2 kW;50 kW;Liquide;;51 min. à 50 kW;14h26 à 2.3 kW;11h04 à 3 kW;4h37 à 7.2 kW;289 km;15 kWh/100km;Oui;;Traction;1;4.18 m;2.6 m;1.57 m;1.8 m;332 Litres;1610 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Hyundai;Kona;2021;35100 €;136 ch;395 Nm;9.9 secondes;155 km/h;Avant;136 ch;Aimant permanent (synchrone);395 Nm;;;;;;;;;41 kWh;39.2 kWh;Type 2;CCS Combo;7.2 kW;50 kW;Liquide;;51 min. à 50 kW;14h26 à 2.3 kW;11h04 à 3 kW;4h37 à 7.2 kW;305 km;14.3 kWh/100km;Oui;;Traction;1;4.18 m;2.6 m;1.57 m;1.8 m;332 Litres;1610 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Hyundai;Kona;2021;39900 €;204 ch;395 Nm;7.9 secondes;167 km/h;Avant;204 ch;Aimant permanent (synchrone);395 Nm;;;;;;;;;67 kWh;64 kWh;Type 2;CCS Combo;7.2 kW;77 kW;Liquide;;54 min. à 77 kW;23h36 à 2.3 kW;18h05 à 3 kW;7h32 à 7.2 kW;484 km;14.7 kWh/100km;Oui;;Traction;1;4.18 m;2.6 m;1.57 m;1.8 m;332 Litres;1760 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Kia;E-Niro;2018;37100 €;136 ch;395 Nm;9.8 secondes;155 km/h;Avant;136 ch;Aimant permanent (synchrone);395 Nm;;;;;;;;;41 kWh;39.2 kWh;Type 2;CCS Combo;7.2 kW;50 kW;Liquide;;51 min. à 50 kW;14h26 à 2.3 kW;11h04 à 3 kW;4h37 à 7.2 kW;289 km;15.3 kWh/100km;Oui;;Traction;1;4.375 m;2.7 m;1.57 m;1.81 m;451 Litres;1687 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Kia;E-Soul;2019;37200 €;136 ch;395 Nm;9.9 secondes;155 km/h;Avant;136 ch;Aimant permanent (synchrone);395 Nm;;;;;;;;;41 kWh;39.2 kWh;Type 2;CCS Combo;7.4 kW;11 kW;50 kW;Liquide;51 min. à 50 kW;14h26 à 2.3 kW;11h04 à 3 kW;4h29 à 7.4 kW;277 km;14.5 kWh/100km;Non;;Traction;1;4.195 m;2.6 m;1.605 m;1.8 m;224 Litres;1593 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Kia;Soul;2014;35400 €;110 ch;285 Nm;11.2 secondes;145 km/h;Avant;110 ch;Aimant permanent (synchrone);285 Nm;;;;;;;;;28 kWh;27 kWh;Type 2;Chademo;6.6 kW;80 kW;Air;;30 min. à 80 kW;9h52 à 2.3 kW;7h34 à 3 kW;3h26 à 6.6 kW;212 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.14 m;2.57 m;1.593 m;1.8 m;281 Litres;1565 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/60 R 16;
Kia;Soul;2017;36900 €;110 ch;285 Nm;11.3 secondes;145 km/h;Avant;110 ch;Aimant permanent (synchrone);285 Nm;;;;;;;;;32 kWh;30 kWh;Type 2;Chademo;6.6 kW;80 kW;Air;;26 min. à 80 kW;11h16 à 2.3 kW;8h38 à 3 kW;3h56 à 6.6 kW;250 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.14 m;2.57 m;1.593 m;1.8 m;281 Litres;1575 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/60 R 16;
Mazda;MX-30;2020;33900 €;145 ch;271 Nm;9.7 secondes;140 km/h;Avant;145 ch;Aimant permanent (synchrone);271 Nm;;;;;;;;;35.5 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;6.6 kW;50 kW;Liquide;;39 min. à 50 kW;12h41 à 2.3 kW;9h43 à 3 kW;4h25 à 6.6 kW;200 km;19 kWh/100km;Oui;;Traction;1;4.395 m;2.66 m;1.555 m;1.8 m;366 Litres;1720 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 18;
MG;Marvel;2022;39490 €;180 ch;410 Nm;7.9 secondes;200 km/h;Arrière;71 ch;Aimant permanent (synchrone);155 Nm;Arrière;109 ch;Aimant permanent (synchrone);255 Nm;;;;;70 kWh;66 kWh;Type 2;CCS Combo;11 kW;92 kW;Liquide;;47 min. à 92 kW;24h39 à 2.3 kW;18h54 à 3 kW;5h09 à 11 kW;402 km;19.41 kWh/100km;En option;;Propulsion;2;4.674 m;2.804 m;1.613 m;1.919 m;507 Litres;1885 kg;150/357 Litres;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 18;235/50 R 18
MG;MG5;2022;32490 €;130 ch;280 Nm;8.3 secondes;185 km/h;Avant;130 ch;Aimant permanent (synchrone);280 Nm;;;;;;;;;50.3 kWh;48 kWh;Type 2;CCS Combo;11 kW;70 kW;Liquide;;56 min. à 70 kW;17h37 à 2.3 kW;13h30 à 3 kW;3h41 à 11 kW;320 km;17.9 kWh/100km;Non;;Traction;1;4.6 m;2.659 m;1.543 m;1.811 m;479 Litres;1637 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/60 R 16 ;
MG;MG5;2022;35490 €;115 ch;280 Nm;8.3 secondes;185 km/h;Avant;115 ch;Aimant permanent (synchrone);280 Nm;;;;;;;;;61.1 kWh;59 kWh;Type 2;CCS Combo;11 kW;87 kW;Liquide;;55 min. à 87 kW;21h29 à 2.3 kW;16h28 à 3 kW;4h30 à 11 kW;400 km;17.5 kWh/100km;Non;;Traction;1;4.6 m;2.659 m;1.543 m;1.811 m;479 Litres;1637 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/50 R 17 ;
MG;ZS;2021;30990 €;177 ch;280 Nm;8.6 secondes;175 km/h;Avant;177 ch;Aimant permanent (synchrone);280 Nm;;;;;;;;;51 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;6.6 kW;90 kW;Liquide;;31 min. à 90 kW;17h58 à 2.3 kW;13h46 à 3 kW;6h16 à 6.6 kW;320 km;17.3 kWh/100km;Non;;Traction;1;4.323 m;2.581 m;1.649 m;1.809 m;488 Litres;1645 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
MG;ZS;2021;34990 €;156 ch;280 Nm;8.6 secondes;175 km/h;Avant;156 ch;Aimant permanent (synchrone);280 Nm;;;;;;;;;72 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;11 kW;90 kW;Liquide;;41 min. à 90 kW;25h21 à 2.3 kW;19h26 à 3 kW;5h18 à 11 kW;440 km;17.8 kWh/100km;Non;;Traction;1;4.323 m;2.581 m;1.649 m;1.809 m;488 Litres;1695 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Mini;Mini;2019;37600 €;184 ch;270 Nm;7.3 secondes;150 km/h;Avant;184 ch;Aimant permanent (synchrone);270 Nm;;;;;;;;;32.6 kWh;28.9 kWh;Type 2;CCS Combo;11 kW;50 kW;;;42 min. à 50 kW;11h37 à 2.3 kW;8h55 à 3 kW;2h26 à 11 kW;234 km;15.2 kWh/100km;Oui;;Traction;1;3.85 m;2.495 m;1.432 m;1.727 m;211 Litres;1440 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";195/55 R 16;
