,date_mise_en_service,nbre_pdc_count,nbre_pdc_sum
229,2021-11-30,34246,186465
230,2021-12-31,35299,191827
231,2022-01-31,36370,200241
232,2022-02-28,37164,207545
233,2022-03-31,38836,471157
234,2022-04-30,39726,477136
235,2022-05-31,40799,482863
236,2022-06-30,43067,497503
237,2022-07-31,44242,506221
238,2022-08-31,45294,514461
239,2022-09-30,47257,646203
240,2022-10-31,48566,654614
241,2022-11-30,49824,662325
242,2022-12-31,52044,673832
243,2023-01-31,53078,678587
244,2023-02-28,53858,682021
245,2023-03-31,54681,686953
246,2023-04-30,54692,686977
