fabricant;modele;annee;prix_Eur;puissance_cumul_Ch;couple_cumul_Nm;tps_acc_0_100_Sec;vitesse_max_Km_h;position_moteur_1;puissance_moteur_1_Ch;type_moteur_1;couple_moteur_1_Nm;position_moteur_2;puissance_moteur_2_Ch;type_moteur_2;couple_moteur_2_Nm;position_moteur_3;puissance_moteur_3_Ch;type_moteur_3;couple_moteur_3_Nm;homologation_autonomie;capacite_nominale_brute_KWh;capacite_utile_nette_KWh;prise_charge_AC;prise_charge_DC;vitesse_charge_AC_KW;vitesse_charge_AC_option_KW;vitesse_charge_DC_KW;vitesse_charge_DC_option_KW;refroidissement;temps_charge_DC_0_80;temps_charge_AC_0_80_prise_dom_2_3kW;temps_charge_AC_0_80_prise_dom_renforcee_3kW;autonomie_electrique_mixte_Km;conso_electrique_KWh_100km;pompe_chaleur;motricite;rapports;longueur_M;empattement_M;hauteur_M;largeur_M;coffre_L;poids_Kg;coffre_avant_arriere_L;essieu_avant;essieu_arriere;base_chassis;plateforme;pneus;pneus_arriere
BMW;i3 120Ah;2019;39950;170;250;7.3;150;Arrière;170;Aimant permanent (synchrone);250;;;;;;;;;WLTP;42.2;37.9;Type 2;CCS Combo;7.4;;50;;Liquide;52 min. à 50 kW;14h47;11h20;305;15.4 ;Non;Propulsion;1;4.011;2.57;1.577;1.775;260.0;1345.0;;Macpherson;Multibras;Electrique;;175/60 R19 (Ar);
Citroen;E-Berlingo Standard;2021;35300;136;260;11.2;130;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;280;;Oui;Traction;1;4.403;2.785;1.874;1.848;597.0;1738.0;;Macpherson;Semi-rigide;Thermique;E-CMP;205/60 R 16;
Citroen;E-Berlingo XL;2021;39150;136;260;11.2;130;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;274;;Oui;Traction;1;4.753;2.975;1.874;1.848;850.0;1817.0;;Macpherson;Semi-rigide;Thermique;E-CMP;205/60 R 16;
Citroen;Ë-C4 Electric;2020;34800;136;260;9.4;150;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;350;15.9 ;En option;Traction;1;4.36;2.67;1.525;1.8;380.0;1616.0;;Macpherson;Semi-rigide + Panhard;Thermique;;215/65 R 16;
DS;DS3 Crossback E-Tense;2020;39200;136;260;8.7;150;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;320;;Oui;Traction;1;4.118;2.558;1.534;1.77;350.0;1600.0;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;215/60 R 17;
Honda;Honda-e;2019;35000;136;315;9.0;145;Arrière;136;Aimant permanent (synchrone);315;;;;;;;;;WLTP;35.5;28.5;Type 2;CCS Combo;6.6;;50;;Liquide;40 min. à 50 kW;12h41;9h43;222;17.2 ;Non;Propulsion;1;3.894;2.538;1.512;1.752;171.0;1513.0;;Macpherson;Multibras;Electrique;;185/60 R 16;205/55 R 16
Honda;Honda-e Advance;2019;38000;154;315;8.3;145;Arrière;154;Aimant permanent (synchrone);315;;;;;;;;;WLTP;35.5;28.5;Type 2;CCS Combo;6.6;;50;;Liquide;40 min. à 50 kW;12h41;9h43;210;17.8 ;Non;Propulsion;1;3.894;2.538;1.512;1.752;171.0;1520.0;;Macpherson;Multibras;Electrique;;185/60 R 16;205/55 R 16
Hyundai;Ioniq;2016;35850;120;295;9.9;165;Avant;120;Aimant permanent (synchrone);295;;;;;;;;;NEDC;31;28;Type 2;CCS Combo;6.6;;70;;Air;29 min. à 70 kW;10h55;8h22;280;11.5 ;Oui;Traction;1;4.47;2.7;1.445;1.72;350.0;1495.0;;Macpherson;Multibras;Thermique;;205/55 R 16;
Hyundai;Ioniq;2020;34900;136;295;9.9;165;Avant;136;Aimant permanent (synchrone);295;;;;;;;;;WLTP;41;38.3;Type 2;CCS Combo;7.2;;44;;Liquide;58 min. à 44 kW;14h26;11h04;311;13.8 ;Oui;Traction;1;4.47;2.7;1.445;1.72;357.0;1602.0;;Macpherson;Multibras;Thermique;;205/55 R 16;
Hyundai;Kona;2018;39100;136;395;9.7;155;Avant;136;Aimant permanent (synchrone);395;;;;;;;;;WLTP;41;39.2;Type 2;CCS Combo;7.2;;50;;Liquide;51 min. à 50 kW;14h26;11h04;289;15 ;Oui;Traction;1;4.18;2.6;1.57;1.8;332.0;1610.0;;Macpherson;Multibras;Thermique;;215/55 R 17;
Hyundai;Kona;2021;35100;136;395;9.9;155;Avant;136;Aimant permanent (synchrone);395;;;;;;;;;WLTP;41;39.2;Type 2;CCS Combo;7.2;;50;;Liquide;51 min. à 50 kW;14h26;11h04;305;14.3 ;Oui;Traction;1;4.18;2.6;1.57;1.8;332.0;1610.0;;Macpherson;Multibras;Thermique;;215/55 R 17;
Hyundai;Kona;2021;39900;204;395;7.9;167;Avant;204;Aimant permanent (synchrone);395;;;;;;;;;WLTP;67;64;Type 2;CCS Combo;7.2;;77;;Liquide;54 min. à 77 kW;23h36;18h05;484;14.7 ;Oui;Traction;1;4.18;2.6;1.57;1.8;332.0;1760.0;;Macpherson;Multibras;Thermique;;215/55 R 17;
Kia;E-Niro;2018;37100;136;395;9.8;155;Avant;136;Aimant permanent (synchrone);395;;;;;;;;;WLTP;41;39.2;Type 2;CCS Combo;7.2;;50;;Liquide;51 min. à 50 kW;14h26;11h04;289;15.3 ;Oui;Traction;1;4.375;2.7;1.57;1.81;451.0;1687.0;;Macpherson;Multibras;Thermique;;215/55 R 17;
Kia;E-Soul;2019;37200;136;395;9.9;155;Avant;136;Aimant permanent (synchrone);395;;;;;;;;;WLTP;41;39.2;Type 2;CCS Combo;7.4;11;50;;Liquide;51 min. à 50 kW;14h26;11h04;277;14.5 ;Non;Traction;1;4.195;2.6;1.605;1.8;224.0;1593.0;;Macpherson;Multibras;Thermique;;215/55 R 17;
Kia;Soul EV;2014;35400;110;285;11.2;145;Avant;110;Aimant permanent (synchrone);285;;;;;;;;;NEDC;28;27;Type 2;Chademo;6.6;;80;;Air;30 min. à 80 kW;9h52;7h34;212;;Oui;Traction;1;4.14;2.57;1.593;1.8;281.0;1565.0;;Macpherson;Multibras;Thermique;;205/60 R 16;
Kia;Soul EV;2017;36900;110;285;11.3;145;Avant;110;Aimant permanent (synchrone);285;;;;;;;;;NEDC;32;30;Type 2;Chademo;6.6;;80;;Air;26 min. à 80 kW;11h16;8h38;250;;Oui;Traction;1;4.14;2.57;1.593;1.8;281.0;1575.0;;Macpherson;Multibras;Thermique;;205/60 R 16;
Mazda;MX-30 E-Skyactiv;2020;33900;145;271;9.7;140;Avant;145;Aimant permanent (synchrone);271;;;;;;;;;WLTP;35.5;;Type 2;CCS Combo;6.6;;50;;Liquide;39 min. à 50 kW;12h41;9h43;200;19 ;Oui;Traction;1;4.395;2.66;1.555;1.8;366.0;1720.0;;Macpherson;Semi-rigide;Thermique;;215/55 R 18;
MG;Marvel R Comfort/luxury;2022;39490;180;410;7.9;200;Arrière;71;Aimant permanent (synchrone);155;Arrière;109;Aimant permanent (synchrone);255;;;;;WLTP;70;66;Type 2;CCS Combo;11;;92;;Liquide;47 min. à 92 kW;24h39;18h54;402;19.41 ;En option;Propulsion;2;4.674;2.804;1.613;1.919;507.0;1885.0;150/357;Macpherson;Multibras;Electrique;;215/55 R 18;235/50 R 18
MG;MG5 Autonomie Standard;2022;32490;130;280;8.3;185;Avant;130;Aimant permanent (synchrone);280;;;;;;;;;WLTP;50.3;48;Type 2;CCS Combo;11;;70;;Liquide;56 min. à 70 kW;17h37;13h30;320;17.9 ;Non;Traction;1;4.6;2.659;1.543;1.811;479.0;1637.0;;Macpherson;Semi-rigide;Thermique;;205/60 R 16 ;
MG;MG5 Autonomie Etendue;2022;35490;115;280;8.3;185;Avant;115;Aimant permanent (synchrone);280;;;;;;;;;WLTP;61.1;59;Type 2;CCS Combo;11;;87;;Liquide;55 min. à 87 kW;21h29;16h28;400;17.5 ;Non;Traction;1;4.6;2.659;1.543;1.811;479.0;1637.0;;Macpherson;Semi-rigide;Thermique;;215/50 R 17 ;
MG;ZS Standard Range;2021;30990;177;280;8.6;175;Avant;177;Aimant permanent (synchrone);280;;;;;;;;;WLTP;51;;Type 2;CCS Combo;6.6;;90;;Liquide;31 min. à 90 kW;17h58;13h46;320;17.3 ;Non;Traction;1;4.323;2.581;1.649;1.809;488.0;1645.0;;Macpherson;Semi-rigide;Thermique;;215/55 R 17;
MG;ZS Long Range;2021;34990;156;280;8.6;175;Avant;156;Aimant permanent (synchrone);280;;;;;;;;;WLTP;72;;Type 2;CCS Combo;11;;90;;Liquide;41 min. à 90 kW;25h21;19h26;440;17.8 ;Non;Traction;1;4.323;2.581;1.649;1.809;488.0;1695.0;;Macpherson;Semi-rigide;Thermique;;215/55 R 17;
Mini;Mini E Electric;2019;37600;184;270;7.3;150;Avant;184;Aimant permanent (synchrone);270;;;;;;;;;WLTP;32.6;28.9;Type 2;CCS Combo;11;;50;;;42 min. à 50 kW;11h37;8h55;234;15.2 ;Oui;Traction;1;3.85;2.495;1.432;1.727;211.0;1440.0;;Macpherson;Multibras;Thermique;;195/55 R 16;
Nissan;Leaf;2013;31320;109;254;11.5;144;Avant;109;A excitation (synchrone);254;;;;;;;;;NEDC;30;;Type 2;Chademo;6.6;;50;;Air;33 min. à 50 kW;10h34;8h06;250;15 ;Oui;Traction;1;4.445;2.7;1.55;1.77;370.0;1525.0;;Macpherson;Semi-rigide;Thermique;;205/55 R 16;
Nissan;Leaf II;2017;35400;150;320;7.9;144;Avant;150;Aimant permanent (synchrone);320;;;;;;;;;WLTP;40;37.5;Type 2;Chademo;6.6;;50;;Air;50 min. à 50 kW;14h05;10h48;270;20.6 ;Oui;Traction;1;4.49;2.7;1.54;1.788;435.0;1580.0;;Macpherson;Semi-rigide;Thermique;;205/55 R 16;
Opel;Corsa-e Electric;2019;31600;136;260;8.1;150;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;322;17 ;Oui;Traction;1;4.06;2.538;1.433;1.75;309.0;1530.0;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;185/65 R 16;
Opel;Mokka-e Electric;2019;36900;136;260;9.1;150;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;342;17.4 ;Oui;Traction;1;4.151;2.557;1.532;1.77;392.0;1598.0;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;215/65 R 16;
Peugeot;e-2008 Electric;2019;37850;136;260;9.0;150;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;320;17.2 ;Oui;Traction;1;4.3;2.605;1.55;1.77;405.0;1548.0;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;215/65 R 16;
Peugeot;e-208 Electric;2019;32700;136;260;8.3;150;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;340;16.4 ;Oui;Traction;1;4.055;2.54;1.43;1.745;309.0;1530.0;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;195/55 R 16;
Peugeot;e-208 Electric;2023;34800;156;260;8.2;150;Avant;156;Aimant permanent (synchrone);260;;;;;;;;;WLTP;51;48.1;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h58;13h46;398;;Oui;Traction;1;4.055;2.54;1.43;1.745;309.0;1530.0;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;195/55 R 16;
Peugeot;E-Rifter Standard;2021;36400;136;260;11.2;130;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;282;;Oui;Traction;1;4.403;2.785;1.874;1.848;597.0;1743.0;;Macpherson;Semi-rigide;Thermique;E-CMP;215/65 R 16;
Renault;Megane e-Tech EV40;2022;35200;130;250;10.0;150;Avant;130;A excitation (synchrone);250;;;;;;;;;WLTP;42;40;Type 2;CCS Combo;7.4;22;0;85;Liquide;41 min. à 85 kW;14h47;11h20;300;15.8 ;En option;Traction;1;4.2;2.685;1.505;1.768;440.0;1513.0;;Macpherson;Multibras;Thermique;CMF-EV ;195/60 R 18;
Renault;Zoe II R110;2019;32000;108;225;11.4;135;Avant;108;A excitation (synchrone);225;;;;;;;;;WLTP;52;;Type 2;CCS Combo;22;;0;50;Air;53 min. à 50 kW;18h19;14h02;395;17.2 ;Oui;Traction;1;4.087;2.588;1.562;1.787;338.0;1502.0;;Macpherson;Semi-rigide;Thermique;;185/65 R 15;
Renault;Zoe II R135;2019;34600;135;245;9.5;140;Avant;135;A excitation (synchrone);245;;;;;;;;;WLTP;52;;Type 2;CCS Combo;22;;0;50;Air;53 min. à 50 kW;18h19;14h02;386;17.7 ;Oui;Traction;1;4.087;2.588;1.562;1.787;338.0;1502.0;;Macpherson;Semi-rigide;Thermique;;195/55 R 16;
Skoda;Enyaq 50;2021;37930;150;310;11.3;160;Arrière;150;Aimant permanent (synchrone);310;;;;;;;;;WLTP;55;52;Type 2;CCS Combo;7.2;;110;;Liquide;33 min. à 110 kW;19h22;14h51;362;15.2 ;Non;Propulsion;1;4.649;2.765;1.616;1.879;585.0;1862.0;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Volkswagen;E-Golf;2014;30490;115;270;10.4;140;Avant;115;Aimant permanent (synchrone);270;;;;;;;;;NEDC;24.2;;Type 2;CCS Combo;3.6;;40;;Air;33 min. à 40 kW;8h27;6h29;190;;En option;Traction;1;4.27;2.63;1.45;1.8;341.0;1510.0;;Macpherson;Multibras;Thermique;;205/55 R 16;
Volkswagen;E-Golf;2014;39400;136;290;9.6;150;Avant;136;Aimant permanent (synchrone);290;;;;;;;;;WLTP;32;;Type 2;CCS Combo;7.4;;40;;Air;41 min. à 40 kW;11h16;8h38;230;;En option;Traction;1;4.27;2.63;1.45;1.8;341.0;1540.0;;Macpherson;Multibras;Thermique;;205/55 R 16;
Volkswagen;ID3 Pure;2022;34300;150;310;8.9;160;Arrière;150;Aimant permanent (synchrone);310;;;;;;;;;WLTP;49;45;Type 2;CCS Combo;7.2;;50;110;Liquide;61 min. à 50 kW;17h15;13h14;350;14.9 ;En option;Propulsion;1;4.261;2.77;1.568;1.809;385.0;1706.0;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Volkswagen;ID3 Pro;2020;39300;145;275;9.6;160;Arrière;145;Aimant permanent (synchrone);275;;;;;;;;;WLTP;62;58;Type 2;CCS Combo;11;;120;;Liquide;34 min. à 120 kW;21h50;16h44;417;15.5 ;En option;Propulsion;1;4.261;2.77;1.568;1.809;385.0;1812.0;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Audi;Q4 E-Tron 35;2021;42800;170;310;9.0;160;Arrière;170;Aimant permanent (synchrone);310;;;;;;;;;WLTP;55;52;Type 2;CCS Combo;7.4;;110;;Liquide;33 min. à 110 kW;19h22;14h51;336;17.3 ;En option;Propulsion;1;4.588;2.764;1.632;1.865;535.0;1965.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4 E-Tron 40;2021;48700;204;310;8.5;160;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;82;77;Type 2;CCS Combo;11;;125;;Liquide;41 min. à 125 kW / 42 min. à 120 kW;28h53;22h08;513;17.6 ;En option;Propulsion;1;4.588;2.764;1.632;1.865;535.0;1965.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4 E-Tron Sportback 35;2021;44800;170;310;9.0;160;Arrière;170;Aimant permanent (synchrone);310;;;;;;;;;WLTP;55;52;Type 2;CCS Combo;7.4;;110;;Liquide;33 min. à 110 kW;19h22;14h51;341;17 ;En option;Propulsion;1;4.588;2.764;1.614;1.865;535.0;1970.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
BMW;i3 S 94Ah;2017;42336;184;270;6.9;160;Arrière;184;Aimant permanent (synchrone);270;;;;;;;;;WLTP;33;27.2;Type 2;CCS Combo;7.4;;50;;Liquide;42 min. à 50 kW;11h37;8h55;240;;En option;Propulsion;1;4.006;2.57;1.59;1.775;260.0;1365.0;;Macpherson;Multibras;Electrique;;195/50 R20 (Ar);
BMW;i3 S 120Ah;2019;42500;184;270;6.9;160;Arrière;184;Aimant permanent (synchrone);270;;;;;;;;;WLTP;42.2;37.9;Type 2;CCS Combo;7.4;;50;;Liquide;52 min. à 50 kW;14h47;11h20;283;16.2 ;En option;Propulsion;1;4.011;2.57;1.577;1.775;260.0;1365.0;;Macpherson;Multibras;Electrique;;195/50 R20 (Ar);
Cupra;Born V;2022;42700;204;310;7.3;160;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;62;58;Type 2;CCS Combo;11;;120;;Liquide;34 min. à 120 kW;21h50;16h44;424;15.5 ;En option;Propulsion;1;4.322;2.766;1.54;1.809;385.0;1736.0;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Cupra;Born VZ58;2022;43990;231;310;6.6;160;Arrière;231;Aimant permanent (synchrone);310;;;;;;;;;WLTP;62;58;Type 2;CCS Combo;11;;120;;Liquide;34 min. à 120 kW;21h50;16h44;417;16 ;En option;Propulsion;1;4.322;2.766;1.54;1.809;385.0;1749.0;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Ford;Mustang Mach-e RWD Standard Range;2020;48990;269;430;6.9;180;Arrière;269;Aimant permanent (synchrone);430;;;;;;;;;WLTP;75.7;68;Type 2;CCS Combo;11;;115;;Liquide;33 min. à 115 kW;26h46;20h31;440;;En option;Propulsion;1;4.713;2.98;1.597;1.881;600.0;1969.0;81/519;Macpherson;Multibras;Electrique;;225/60 R 18;
Hyundai;Ioniq 5;2021;43600;170;350;8.5;185;Arrière;170;Aimant permanent (synchrone);350;;;;;;;;;WLTP;58;54;Type 2;CCS Combo;11;;175;;Liquide;35 min. à 175 kW / 37 min. à 120 kW;20h26;15h40;384;16.7 ;En option;Propulsion;1;4.635;3.0;1.647;1.89;584.0;1905.0;57/527;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Hyundai;Ioniq 5;2021;46800;218;350;7.4;185;Arrière;218;Aimant permanent (synchrone);350;;;;;;;;;WLTP;72.6;70;Type 2;CCS Combo;11;;233;;Liquide;33 min. à 233 kW / 39 min. à 120 kW;25h43;19h43;481;16.8 ;En option;Propulsion;1;4.635;3.0;1.647;1.89;584.0;1985.0;57/527;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Hyundai;Ioniq 5;2022;49700;229;350;7.3;185;Arrière;229;Aimant permanent (synchrone);350;;;;;;;;;WLTP;77.4;72.6;Type 2;CCS Combo;11;;233;;Liquide;25 min. à 233 kW / 34 min. à 120 kW;27h07;20h47;507;16.8 ;En option;Propulsion;1;4.635;3.0;1.647;1.89;584.0;2090.0;57/527;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
