id,insee,score_4,gamma,max_distance_km,last_update
484,02095,90.26326792622385,5.0,20.0,2025-12-01
485,02096,22.931365723683463,5.0,20.0,2025-12-01
486,02097,20.06970556460714,5.0,20.0,2025-12-01
487,02098,60.919713353927754,5.0,20.0,2025-12-01
488,02099,39.614884531076406,5.0,20.0,2025-12-01
489,02100,55.94986350717056,5.0,20.0,2025-12-01
490,02101,14.302231438110278,5.0,20.0,2025-12-01
491,02102,39.45825691632037,5.0,20.0,2025-12-01
492,02103,36.221733940244576,5.0,20.0,2025-12-01
493,02104,59.75585583369424,5.0,20.0,2025-12-01
494,02105,51.4913929927306,5.0,20.0,2025-12-01
495,02106,48.15654110901643,5.0,20.0,2025-12-01
496,02107,46.543605938271526,5.0,20.0,2025-12-01
497,02108,52.64778179519686,5.0,20.0,2025-12-01
