,insee,nom,surf_ha,x,y
96,2B313,San-Nicolao,762.0,9.509222,42.368538
97,2B302,San-Giovanni-di-Moriani,1016.0,9.465619,42.37315
98,2B307,Santa-Lucia-di-Moriani,620.0,9.510687,42.3842
99,2B206,Penta-Acquatella,303.0,9.372569,42.46318
100,2B054,Campile,971.0,9.35571,42.49602
101,2B166,Monte,1475.0,9.401503,42.48263
102,2B355,Volpajola,1296.0,9.360562,42.519913
103,2B250,Prunelli-di-Casacconi,595.0,9.405431,42.50999
104,2B192,Olmo,446.0,9.413946,42.501022
105,2B219,Piedicroce,327.0,9.367691,42.383705
106,2B344,Verdèse,103.0,9.372122,42.39341
107,2B101,Croce,642.0,9.357592,42.407787
108,2B113,Ficaja,505.0,9.377811,42.421448
109,2B214,Piano,341.0,9.397231,42.441288
110,2B069,Casabianca,366.0,9.371396,42.446907
111,97407,Le Port,1617.0,55.30441,-20.944143
112,97411,Saint-Denis,14177.0,55.446968,-20.932922
113,97415,Saint-Paul,24088.0,55.322285,-21.044498
114,97408,La Possession,11864.0,55.397682,-20.994081
115,2B246,La Porta,513.0,9.358262,42.4245
116,97613,M'Tsangamouji,2157.0,45.08642,-12.75117
117,97602,Bandraboua,3165.0,45.117947,-12.723288
118,97601,Acoua,1251.0,45.06858,-12.724054
119,2B190,Olmi-Cappella,5089.0,9.02022,42.52042
120,2B049,Calenzana,18384.0,8.804311,42.47823
121,66148,Port-Vendres,1447.0,3.1041915,42.50243
122,97409,Saint-André,5328.0,55.641556,-20.962881
123,97418,Sainte-Marie,8841.0,55.53067,-20.946787
124,97420,Sainte-Suzanne,5787.0,55.59304,-20.945814
125,97402,Bras-Panon,8879.0,55.6206,-21.022707
126,97410,Saint-Benoît,23004.0,55.649296,-21.091768
127,97421,Salazie,10378.0,55.508007,-21.046753
128,2B327,Tomino,589.0,9.445581,42.94382
129,2B043,Brando,2223.0,9.45065,42.779545
130,2B046,Cagnano,1481.0,9.443655,42.87217
131,2B159,Meria,2062.0,9.436756,42.91988
132,2B261,Rogliano,2683.0,9.425977,42.97229
133,2B059,Canavaggia,3503.0,9.234583,42.496605
134,2B039,Bisinchi,1268.0,9.319476,42.486195
135,2B156,Mausoléo,1935.0,8.965453,42.495224
136,2B305,San-Martino-di-Lota,956.0,9.432429,42.732594
137,2B037,Biguglia,2673.0,9.4409075,42.616463
138,59099,Bousies,985.0,3.6151924,50.1519
139,2B148,Lucciana,2933.0,9.473221,42.541485
140,2B353,Ville-di-Pietrabugno,758.0,9.427415,42.71597
141,2B033,Bastia,1986.0,9.425185,42.686417
142,2B245,Porri,448.0,9.442065,42.44929
143,2B252,Pruno,643.0,9.448112,42.424282
144,2B340,Velone-Orneto,1223.0,9.451796,42.3912
145,2B319,Talasani,995.0,9.507498,42.41782
146,2B318,Taglio-Isolaccio,1127.0,9.495986,42.43475
147,2B346,Vescovato,1753.0,9.473984,42.515724
148,2B207,Penta-di-Casinca,1886.0,9.497211,42.454845
149,2B077,Castellare-di-Casinca,911.0,9.501514,42.47087
150,2B242,Poggio-Mezzana,883.0,9.512068,42.40156
151,2B343,Venzolasca,1648.0,9.4932165,42.501602
152,2B286,Sorbo-Ocagnano,1077.0,9.488697,42.482735
153,2B210,Pero-Casevecchie,466.0,9.464416,42.415985
154,97416,Saint-Pierre,9640.0,55.493835,-21.312262
155,97406,La Plaine-des-Palmistes,8293.0,55.644356,-21.151955
156,97422,Le Tampon,18120.0,55.558598,-21.22314
157,97419,Sainte-Rose,17801.0,55.75449,-21.19218
158,97405,Petite-Île,3395.0,55.568832,-21.339622
159,97412,Saint-Joseph,17809.0,55.642006,-21.306267
160,97417,Saint-Philippe,15465.0,55.7452,-21.303875
161,2B297,San-Damiano,574.0,9.413672,42.406162
162,63287,Les Pradeaux,563.0,3.2917578,45.513454
163,2B299,San-Gavino-d'Ampugnani,323.0,9.425491,42.417393
164,2B280,Silvareccio,485.0,9.417918,42.452686
165,2B273,Scata,277.0,9.40411,42.422348
166,2B145,Loreto-di-Casinca,817.0,9.425305,42.4766
167,2B072,Casalta,488.0,9.423325,42.435474
168,97414,Saint-Louis,9884.0,55.421566,-21.233603
169,97404,L'Étang-Salé,3843.0,55.366856,-21.249058
170,97401,Les Avirons,2625.0,55.35857,-21.209774
171,97413,Saint-Leu,11820.0,55.333263,-21.166058
172,97610,Koungou,2799.0,45.186615,-12.746789
173,97607,Dembéni,3810.0,45.176357,-12.853064
174,97611,Mamoudzou,4220.0,45.194847,-12.790322
175,97608,Dzaoudzi,658.0,45.281937,-12.777999
176,97603,Bandrélé,3571.0,45.1782,-12.931392
177,97615,Pamandzi,442.0,45.284252,-12.797029
178,2B224,Pietracorbara,2616.0,9.438295,42.84469
179,02772,Vaux-en-Vermandois,389.0,3.1362462,49.823174
180,2B281,Sisco,2503.0,9.442843,42.81435
181,2B152,Luri,2761.0,9.4103,42.89335
182,2B120,Furiani,1863.0,9.417172,42.652363
183,2B165,Moncale,718.0,8.819645,42.50329
184,66016,Banyuls-sur-Mer,4279.0,3.0993478,42.461407
185,66048,Cerbère,824.0,3.1476438,42.444363
186,2B042,Borgo,4808.0,9.457362,42.574047
187,2B337,Valle-di-Rostino,1557.0,9.265137,42.460094
188,2B267,Saliceto,1251.0,9.264296,42.410553
189,2B079,Castello-di-Rostino,1249.0,9.298065,42.47153
190,2B023,Asco,12400.0,8.99737,42.434658
191,2B162,Moltifao,5552.0,9.123381,42.474346
192,2B122,Gavignano,1094.0,9.258833,42.423275
193,2B082,Castineta,914.0,9.273219,42.428215
194,2B193,Omessa,2450.0,9.193792,42.382584
195,2B248,Prato-di-Giovellina,1233.0,9.169403,42.41915
196,2B244,Popolasca,1034.0,9.135976,42.437523
197,2B081,Castiglione,2330.0,9.114777,42.409214
198,2B220,Piedigriggio,1035.0,9.181902,42.44648
199,2B304,San-Lorenzo,1020.0,9.288658,42.389565
200,2B003,Aiti,1221.0,9.229077,42.404053
201,2B169,Morosaglia,2452.0,9.254975,42.447456
202,34032,Béziers,9574.0,3.2307935,43.34745
203,48123,Recoules-d'Aubrac,2634.0,3.0373318,44.69286
204,2B309,Santa-Maria-di-Lota,1320.0,9.423613,42.751392
205,2B274,Scolca,693.0,9.364822,42.539036
206,34231,Romiguières,344.0,3.2384255,43.81779
207,2B350,Vignale,1081.0,9.395964,42.537064
208,2B265,Rutali,1728.0,9.381708,42.582897
209,2B239,Poggio-d'Oletta,1624.0,9.359657,42.65684
210,34230,Les Rives,2395.0,3.2638168,43.856052
211,38018,Auberives-en-Royans,511.0,5.31149,45.064774
212,26179,Mercurol-Veaunes,2497.0,4.8950963,45.07337
213,2B184,Olcani,1429.0,9.386801,42.806065
214,2B029,Barbaggio,1087.0,9.368432,42.6841
215,2B187,Olmeta-di-Capocorso,2141.0,9.377154,42.766705
216,2B205,Patrimonio,1744.0,9.367246,42.706867
217,2B183,Ogliastro,952.0,9.35456,42.8222
218,2B086,Centuri,854.0,9.364652,42.967216
219,2B170,Morsiglia,1352.0,9.373568,42.935677
220,2B107,Ersa,2021.0,9.382909,42.98696
221,2B109,Farinole,1483.0,9.365411,42.729733
222,2B030,Barrettali,1823.0,9.360647,42.873074
223,2B217,Piazzole,389.0,9.40598,42.39436
224,48138,Saint-Bonnet-de-Chirac,760.0,3.2778933,44.503998
225,48092,Marvejols,1269.0,3.287991,44.557743
226,48185,Les Salelles,1065.0,3.2741919,44.484993
227,48005,Antrenas,1743.0,3.2542198,44.588264
228,34188,Olmet-et-Villecun,966.0,3.2984526,43.708538
229,34205,Les Plans,1808.0,3.2661228,43.75613
230,34168,Montesquieu,1442.0,3.2714734,43.56223
231,34323,Valmascle,692.0,3.3002007,43.60007
232,34234,Roquessels,900.0,3.226532,43.549866
233,34156,Mérifons,672.0,3.2802136,43.635555
234,38031,Beaufin,646.0,5.9589443,44.787117
235,34319,Vailhan,1125.0,3.2998128,43.55457
236,05142,Saint-Firmin,2209.0,6.0256906,44.793526
237,07244,Saint-Jean-Chambre,1540.0,4.5613227,44.908165
238,07222,Saint-Cierge-sous-le-Cheylard,598.0,4.453841,44.92649
239,07185,Préaux,2274.0,4.653573,45.13628
240,07309,Satillieu,3339.0,4.5876207,45.141693
241,07192,Rochepaule,3358.0,4.459082,45.085484
242,07165,Belsentes,2574.0,4.5018244,44.915215
243,07276,Saint-Michel-d'Aurance,807.0,4.4556,44.8987
244,07079,Désaignes,5149.0,4.5008807,44.992382
245,07085,Empurany,1927.0,4.5972958,45.026062
246,07073,Le Crestet,1002.0,4.6389146,45.00995
247,07129,Lamastre,2578.0,4.590643,44.9824
248,07290,Saint-Prix,1525.0,4.500852,44.947174
249,07218,Saint-Basile,1820.0,4.5609503,44.94927
250,07095,Gilhoc-sur-Ormèze,2101.0,4.6772046,44.985317
251,07124,Lafarre,1114.0,4.516539,45.07865
252,07166,Nozières,2192.0,4.5461297,45.03444
253,34149,Margon,439.0,3.3040032,43.486347
254,34133,Lavalette,856.0,3.2712622,43.692604
255,07216,Saint-Barthélemy-Grozon,1978.0,4.6487722,44.95978
256,07249,Saint-Jeure-d'Andaure,1345.0,4.463861,45.04795
257,34214,Pouzolles,1012.0,3.2736933,43.479366
258,34094,Espondeilhan,510.0,3.2584813,43.43778
259,34139,Lieuran-lès-Béziers,861.0,3.2313676,43.412086
260,02443,Lucy-le-Bocage,771.0,3.2759273,49.055283
261,34324,Valras-Plage,317.0,3.2914307,43.248634
262,02043,Bagneux,219.0,3.2789516,49.45994
263,34298,Sauvian,1312.0,3.2540598,43.29123
264,34132,Lauroux,2664.0,3.2782328,43.79148
265,34105,Fouzilhon,544.0,3.2373545,43.505375
266,34109,Gabian,1595.0,3.2643526,43.518414
267,34104,Fos,672.0,3.2416372,43.568184
268,34040,Brenas,1051.0,3.253619,43.640697
269,34025,Bassan,685.0,3.2553601,43.408665
270,34001,Abeilhan,784.0,3.2998166,43.457676
271,63185,Lamontgie,714.0,3.3284957,45.474674
272,34336,Villeneuve-lès-Béziers,1735.0,3.2898486,43.31721
273,43261,Vézézoux,712.0,3.3482535,45.40491
274,43206,Saint-Just-près-Brioude,4708.0,3.3312438,45.23233
275,34037,Boujan-sur-Libron,703.0,3.2633994,43.379753
276,43015,Auvers,2111.0,3.3906145,44.996742
277,43262,Vieille-Brioude,2784.0,3.4033706,45.25053
278,59216,Eswars,279.0,3.2656827,50.21887
279,63029,Bansat,1044.0,3.3615596,45.48299
280,48121,Prunières,1329.0,3.3341842,44.817604
281,63156,Esteil,461.0,3.3665137,45.45299
282,63050,Brassac-les-Mines,711.0,3.3214145,45.4195
283,02767,Vauxrezis,657.0,3.2770157,49.42051
284,63182,Jumeaux,720.0,3.348235,45.434406
285,59042,Bachy,642.0,3.268404,50.543457
286,59604,Troisvilles,845.0,3.4731188,50.102367
287,63022,Auzat-la-Combelle,1272.0,3.325445,45.450645
288,43006,Ally,3104.0,3.3166366,45.150303
289,43031,Blassac,1246.0,3.384537,45.16149
290,43175,Saint-Cirgues,1373.0,3.3889122,45.13425
291,43169,Saint-Austremoine,1165.0,3.357779,45.1194
292,43082,Cronce,1627.0,3.3622475,45.08229
293,43151,Pinols,3521.0,3.3853867,45.039257
294,43065,Chastel,2784.0,3.321582,45.063293
295,43038,Bournoncle-Saint-Pierre,1623.0,3.3240085,45.343254
296,43022,Beaumont,1228.0,3.3312457,45.31194
297,43207,Saint-Laurent-Chabreuges,837.0,3.3472202,45.276733
298,43147,Paulhac,865.0,3.340175,45.295002
299,43133,Mercœur,2738.0,3.3036497,45.187546
300,43016,Auzon,1697.0,3.3790107,45.38717
301,59498,Reumont,276.0,3.479073,50.08537
302,43074,Cohade,1017.0,3.3707554,45.335205
303,43258,Vergongheon,1217.0,3.3311381,45.37233
304,48179,Saint-Privat-du-Fau,2237.0,3.356158,44.918602
305,48077,Julianges,941.0,3.31987,44.9367
306,59638,Wannehain,372.0,3.2693655,50.571266
307,43185,Sainte-Florine,764.0,3.3091147,45.40253
308,48177,Saint-Pierre-le-Vieux,1493.0,3.306106,44.84549
309,15048,Chazelles,636.0,3.326941,45.106167
310,15051,Clavières,4472.0,3.3103316,44.993584
311,15107,Lorcières,2209.0,3.2908566,44.952522
312,48089,Le Malzieu-Forain,4939.0,3.3897042,44.86926
313,48090,Le Malzieu-Ville,799.0,3.3370888,44.862885
314,48169,Saint-Léger-du-Malzieu,1924.0,3.316206,44.898624
315,48140,Saint-Chély-d'Apcher,2821.0,3.2753477,44.81267
316,48128,Rimeize,3259.0,3.3169754,44.764484
317,48063,Fontans,3401.0,3.3766468,44.74481
318,05139,Le Dévoluy,18752.0,5.891033,44.684696
319,59394,Maurois,211.0,3.4590273,50.07337
320,89342,Saint-Denis-lès-Sens,685.0,3.2666013,48.235214
321,63107,Chavaroux,404.0,3.258717,45.855854
322,59341,Lesdain,844.0,3.275677,50.093243
323,02428,Licy-Clignon,408.0,3.2644145,49.101913
324,02225,Courchamps,274.0,3.262734,49.11668
325,59311,Honnechy,656.0,3.4804301,50.067608
326,02087,Bieuxy,451.0,3.2699628,49.447464
327,02268,Domptin,460.0,3.2732797,49.016037
328,63456,Vichel,576.0,3.241052,45.424164
329,03267,Saulcet,796.0,3.2668593,46.32943
330,02474,Mennessis,518.0,3.2748322,49.691975
331,02744,Torcy-en-Valois,364.0,3.274099,49.0826
332,02451,Magny-la-Fosse,368.0,3.276157,49.936245
333,02363,Guny,940.0,3.2610114,49.512894
334,02812,Villers-Hélon,814.0,3.26774,49.26487
335,59613,Vicq,399.0,3.6081917,50.413895
336,02212,Condren,562.0,3.2766862,49.636818
337,02030,Aubencheul-aux-Bois,211.0,3.2611494,50.02408
338,63188,Laps,713.0,3.2678277,45.67097
339,63059,Busséol,571.0,3.2623246,45.693287
340,63052,Le Breuil-sur-Couze,596.0,3.2669086,45.46702
341,63325,Saint-Bonnet-lès-Allier,151.0,3.2548664,45.740017
342,63275,Perrier,644.0,3.198565,45.545113
343,63458,Villeneuve,426.0,3.1884358,45.478165
344,63422,Solignat,1118.0,3.1851408,45.523415
345,63036,Bergonne,602.0,3.2176378,45.509415
346,63202,Madriat,471.0,3.1755579,45.435513
347,63222,Meilhaud,453.0,3.1661181,45.543373
348,63017,Augnat,960.0,3.1797357,45.41395
349,63357,Saint-Hérent,1294.0,3.1408257,45.46008
350,63356,Saint-Gervazy,1440.0,3.213124,45.401318
351,63114,Collanges,444.0,3.2152867,45.43537
352,63005,Antoingt,782.0,3.1845546,45.501034
353,63166,Gignat,350.0,3.2190359,45.486187
354,15203,Saint-Mary-le-Plain,2211.0,3.1437101,45.176632
355,15245,Vabres,1915.0,3.1953998,45.03767
356,15168,Ruynes-en-Margeride,2987.0,3.2240689,45.004547
357,15259,Vieillespesse,2497.0,3.1586077,45.117397
358,15097,Lastic,1036.0,3.2188928,45.111397
359,15034,Chaliers,1872.0,3.2376018,44.97
360,15119,Massiac,3477.0,3.1995013,45.245396
361,15042,La Chapelle-Laurent,2647.0,3.242446,45.1835
362,15130,Montchamp,1591.0,3.2146516,45.069107
363,15005,Anglards-de-Saint-Flour,1225.0,3.1585345,44.989307
364,63209,Mareugheol,761.0,3.1611414,45.483746
365,15237,Tiviers,1344.0,3.1757572,45.07468
366,59166,Curgies,606.0,3.606071,50.325577
367,63046,Boudes,793.0,3.183143,45.45226
368,63074,Chalus,657.0,3.208767,45.464535
369,63352,Saint-Germain-Lembron,1578.0,3.2435029,45.45311
370,63268,Pardines,520.0,3.182532,45.562473
371,43247,Torsiac,916.0,3.1979973,45.351974
372,43121,Léotoing,1973.0,3.240619,45.35295
373,43088,Espalem,1476.0,3.2334697,45.302055
374,43103,Grenier-Montgon,501.0,3.2096546,45.286076
375,43033,Blesle,2997.0,3.176694,45.317818
376,48012,Les Monts-Verts,2895.0,3.2221606,44.849087
377,48190,Termes,1757.0,3.1694167,44.826206
378,48059,La Fage-Saint-Julien,1800.0,3.2086725,44.799156
379,48001,Albaret-le-Comtal,2955.0,3.1439455,44.86736
380,48025,Les Bessons,2342.0,3.243389,44.77322
381,15207,Saint-Poncy,4079.0,3.194443,45.159485
382,63255,Nonette-Orsonnette,1047.0,3.2886856,45.48042
383,63270,Parentignat,373.0,3.2860122,45.531635
384,63445,Vassel,297.0,3.3122847,45.76077
385,63096,Chas,352.0,3.3065863,45.747284
386,63111,Clémensat,324.0,3.1052492,45.56414
387,48106,Noalhac,1347.0,3.11363,44.80006
388,63335,Saint-Diéry,2433.0,3.0162764,45.542793
389,63220,Mazoires,4239.0,3.0478013,45.395
390,63435,Tourzel-Ronzières,1193.0,3.1180913,45.52066
391,63280,Pignols,930.0,3.2854953,45.649334
392,63091,Charbonnier-les-Mines,338.0,3.2820234,45.41836
393,63409,Saurier,848.0,3.0558228,45.53595
394,63342,Saint-Floret,1231.0,3.093991,45.5396
395,63087,La Chapelle-Marcousse,2001.0,3.0810003,45.44175
396,63134,Dauzat-sur-Vodable,1517.0,3.0825975,45.471287
397,63299,Rentières,1573.0,3.1203582,45.424824
398,63097,Chassagne,1627.0,3.0624168,45.493217
399,63466,Vodable,1172.0,3.1344986,45.503914
400,43182,Saint-Étienne-sur-Blesle,1777.0,3.1248162,45.30452
401,63031,Beaulieu,871.0,3.2866478,45.443478
402,63453,Vertaizon,1288.0,3.2846842,45.775417
403,63106,Chauriat,870.0,3.2776072,45.74401
404,43191,Saint-Géron,1081.0,3.2941394,45.335457
405,48161,Saint-Juéry,165.0,3.08221,44.83043
406,43120,Lempdes-sur-Allagnon,1046.0,3.2805412,45.379265
407,43099,Frugerès-les-Mines,108.0,3.3085854,45.387096
408,48026,Blavignac,1378.0,3.2837973,44.870346
409,48044,Chauchailles,1742.0,3.0739985,44.792896
410,15187,Saint-Flour,2715.0,3.0830188,45.028637
411,15073,Fridefont,1651.0,3.0954313,44.905766
412,48071,Grandvals,1269.0,3.0525205,44.731686
413,48007,Arzenc-d'Apcher,779.0,3.1115832,44.844685
414,59161,Crèvecœur-sur-l'Escaut,1903.0,3.2687793,50.073032
415,89348,Saint-Julien-du-Sault,2420.0,3.2760696,48.03436
416,59501,Rieulay,736.0,3.2651455,50.3874
417,77024,Bassevelle,1751.0,3.2821054,48.923252
418,58148,Luthenay-Uxeloup,3896.0,3.2685678,46.853664
419,59547,Saint-Vaast-en-Cambrésis,435.0,3.4347599,50.194263
420,89216,Lainsecq,2517.0,3.2794762,47.5486
421,80435,Hesbécourt,362.0,3.1408377,49.946247
422,89063,La Celle-Saint-Cyr,1874.0,3.2835608,47.979706
423,58294,Toury-sur-Jour,2468.0,3.2554488,46.72931
424,59513,Roucourt,319.0,3.1464102,50.327873
425,58273,Sauvigny-les-Bois,2964.0,3.2659044,46.976818
426,58252,Saint-Malo-en-Donziois,1488.0,3.277129,47.311375
427,59421,Mouvaux,416.0,3.136658,50.704056
428,58162,Menestreau,1959.0,3.2615216,47.409664
429,63213,Les Martres-d'Artière,1500.0,3.260459,45.82992
430,63362,Saint-Ignat,1608.0,3.273539,45.92001
431,02799,Vierzy,1279.0,3.277459,49.286755
432,63143,Effiat,2016.0,3.268694,46.044235
433,77414,Saint-Hilliers,1908.0,3.2580245,48.628933
434,02477,Mercin-et-Vaux,782.0,3.2700207,49.37093
435,03200,Neuvy,1901.0,3.282776,46.571293
436,02352,Gouy,1770.0,3.264679,49.998684
437,02719,Sinceny,1318.0,3.2681382,49.59112
438,59115,Brunémont,202.0,3.1444147,50.27428
439,03018,Bayet,2331.0,3.2764542,46.25782
440,63261,Orbeil,969.0,3.268054,45.571583
441,43170,Saint-Beauzire,2368.0,3.2830043,45.276974
442,15229,Soulages,1517.0,3.2625248,45.089417
443,15251,Védrines-Saint-Loup,2759.0,3.2726634,45.052773
444,15158,Rageade,1260.0,3.2685504,45.114788
445,59276,Guesnain,405.0,3.1476874,50.348244
446,59528,Saint-Aubert,813.0,3.417691,50.207283
447,80748,Templeux-le-Guérard,648.0,3.144807,49.962868
448,59007,Anhiers,172.0,3.155453,50.404034
449,02570,Ollezy,535.0,3.1457553,49.73005
450,02631,Quierzy,822.0,3.145764,49.563595
451,02207,Commenchon,336.0,3.1505065,49.641876
452,02774,Vendelles,525.0,3.1381555,49.907642
453,59486,Râches,487.0,3.1369343,50.420155
454,02390,Jeancourt,583.0,3.147016,49.92862
455,02056,Beaumont-en-Beine,544.0,3.1319075,49.68785
456,02081,Béthancourt-en-Vaux,431.0,3.1407764,49.62893
457,02117,Bray-Saint-Christophe,291.0,3.141682,49.77417
458,02718,Silly-la-Poterie,240.0,3.1485336,49.196575
459,63272,Pérignat-lès-Sarliève,391.0,3.1431193,45.73289
460,03021,Bègues,841.0,3.1419868,46.12261
461,07340,Veyras,777.0,4.556526,44.73431
462,03096,Deneuille-lès-Chantelle,822.0,3.1461146,46.25304
463,07066,Chomérac,1939.0,4.66997,44.709946
464,07008,Alissas,1246.0,4.6239295,44.706913
465,07206,Saint-Alban-en-Montagne,1407.0,3.9177787,44.71032
466,07161,Montpezat-sous-Bauzon,2722.0,4.1968036,44.716423
467,90060,Lagrange,92.0,6.977737,47.684177
468,77068,Cessoy-en-Montois,528.0,3.138883,48.50776
469,07156,Meyras,1247.0,4.2600274,44.676983
470,07047,Cellier-du-Luc,1471.0,3.9015272,44.673702
471,07219,Saint-Bauzile,708.0,4.669017,44.672997
472,07260,Saint-Lager-Bressac,1590.0,4.715722,44.69209
473,07018,Astet,3472.0,4.025901,44.68499
474,07194,Rochessauve,1743.0,4.610746,44.680843
475,26027,Barsac,1583.0,5.3041897,44.72633
476,77019,Balloy,1338.0,3.1513395,48.39709
477,63009,Ardes,1660.0,3.1182606,45.398697
478,63007,Apchat,3678.0,3.1476324,45.37386
479,48058,La Fage-Montivernoux,3753.0,3.1512616,44.747078
480,15108,Val d'Arcomie,8913.0,3.1782002,44.924725
481,15022,Bonnac,2265.0,3.1464393,45.210407
482,15188,Saint-Georges,3312.0,3.1379135,45.019302
483,89073,Champignelles,5371.0,3.077244,47.78003
484,89086,Charny Orée de Puisaye,22981.0,3.121873,47.872402
485,48182,Saint-Sauveur-de-Ginestoux,2238.0,3.6153417,44.701927
486,48160,Saint-Jean-la-Fouillouse,2920.0,3.6904204,44.709892
487,48041,Chastanier,1041.0,3.7531145,44.722965
488,07186,Privas,1197.0,4.5940957,44.722523
489,07022,Baix,1755.0,4.7507706,44.70667
490,05077,Molines-en-Queyras,5392.0,6.893257,44.716656
491,07298,Saint-Symphorien-sous-Chomérac,803.0,4.7061787,44.728558
492,07200,Le Roux,1655.0,4.14283,44.721157
