,date_mise_en_service,nb_stations,nb_pdc
84,2009-10-31,1,1
85,2009-11-30,1,1
86,2009-12-31,1,1
87,2010-01-31,1,1
88,2010-02-28,1,1
89,2010-03-31,1,1
90,2010-04-30,1,1
91,2010-05-31,1,1
92,2010-06-30,1,1
93,2010-07-31,1,1
94,2010-08-31,1,1
95,2010-09-30,1,1
96,2010-10-31,1,1
97,2010-11-30,1,1
98,2010-12-31,1,1
99,2011-01-31,1,1
100,2011-02-28,1,1
101,2011-03-31,1,1
102,2011-04-30,1,1
103,2011-05-31,1,1
104,2011-06-30,1,1
105,2011-07-31,1,1
106,2011-08-31,1,1
107,2011-09-30,1,1
108,2011-10-31,1,1
109,2011-11-30,1,1
110,2011-12-31,1,1
111,2012-01-31,1,1
112,2012-02-29,1,1
113,2012-03-31,1,1
114,2012-04-30,1,1
115,2012-05-31,1,1
116,2012-06-30,1,1
117,2012-07-31,1,1
118,2012-08-31,1,1
119,2012-09-30,1,1
120,2012-10-31,1,1
121,2012-11-30,1,1
122,2012-12-31,1,1
123,2013-01-31,1,1
124,2013-02-28,1,1
125,2013-03-31,1,1
126,2013-04-30,1,1
127,2013-05-31,1,1
128,2013-06-30,1,1
129,2013-07-31,1,1
130,2013-08-31,1,1
131,2013-09-30,1,1
132,2013-10-31,2,3
133,2013-11-30,2,3
134,2013-12-31,2,3
135,2014-01-31,24,70
136,2014-02-28,26,73
137,2014-03-31,26,73
138,2014-04-30,26,73
139,2014-05-31,26,73
140,2014-06-30,27,75
141,2014-07-31,27,75
142,2014-08-31,27,75
143,2014-09-30,27,75
144,2014-10-31,27,75
145,2014-11-30,27,75
146,2014-12-31,27,75
147,2015-01-31,27,75
148,2015-02-28,27,75
149,2015-03-31,27,75
150,2015-04-30,27,75
151,2015-05-31,41,103
152,2015-06-30,42,104
153,2015-07-31,74,168
154,2015-08-31,74,168
155,2015-09-30,93,200
156,2015-10-31,101,210
157,2015-11-30,105,214
158,2015-12-31,125,246
159,2016-01-31,161,300
160,2016-02-29,203,369
161,2016-03-31,239,422
162,2016-04-30,256,446
163,2016-05-31,278,495
164,2016-06-30,308,545
165,2016-07-31,339,603
166,2016-08-31,406,737
167,2016-09-30,450,818
168,2016-10-31,490,888
169,2016-11-30,538,960
170,2016-12-31,621,1069
171,2017-01-31,757,1299
172,2017-02-28,859,1474
173,2017-03-31,1011,1754
174,2017-04-30,1264,2249
175,2017-05-31,1481,2626
176,2017-06-30,1674,2912
177,2017-07-31,1787,3083
178,2017-08-31,1912,3246
179,2017-09-30,2039,3427
180,2017-10-31,2132,3566
181,2017-11-30,2263,3748
182,2017-12-31,2408,3985
183,2018-01-31,2523,4160
184,2018-02-28,2649,4343
185,2018-03-31,2761,4516
186,2018-04-30,2898,4745
187,2018-05-31,2996,4875
188,2018-06-30,3171,5107
189,2018-07-31,3297,5290
190,2018-08-31,3375,5407
191,2018-09-30,3451,5526
192,2018-10-31,3536,5671
193,2018-11-30,3626,5798
194,2018-12-31,3708,5905
195,2019-01-31,4162,6387
196,2019-02-28,4254,6497
197,2019-03-31,4341,6654
198,2019-04-30,4407,6760
199,2019-05-31,4480,6894
200,2019-06-30,4553,6995
201,2019-07-31,4633,7128
202,2019-08-31,4718,7233
203,2019-09-30,4794,7355
204,2019-10-31,4866,7466
205,2019-11-30,5005,7672
206,2019-12-31,5385,8386
207,2020-01-31,5476,8543
208,2020-02-29,5847,9193
209,2020-03-31,6171,9571
210,2020-04-30,7027,10430
211,2020-05-31,7221,10664
212,2020-06-30,8290,12640
213,2020-07-31,8636,13205
214,2020-08-31,8933,13685
215,2020-09-30,9125,13973
216,2020-10-31,9580,14791
217,2020-11-30,9850,15214
218,2020-12-31,10119,15647
219,2021-01-31,10828,17060
220,2021-02-28,11041,17419
221,2021-03-31,11328,17993
222,2021-04-30,12047,19473
223,2021-05-31,12481,20306
224,2021-06-30,13047,21618
225,2021-07-31,13518,23030
226,2021-08-31,13863,24116
227,2021-09-30,14210,25092
228,2021-10-31,14523,26117
229,2021-11-30,14834,26994
230,2021-12-31,15136,27798
231,2022-01-31,15404,28602
232,2022-02-28,15630,29333
233,2022-03-31,15984,30740
234,2022-04-30,16280,31638
235,2022-05-31,16683,32570
236,2022-06-30,17267,34169
237,2022-07-31,17647,35225
238,2022-08-31,17952,36122
239,2022-09-30,18470,37852
240,2022-10-31,18917,39082
241,2022-11-30,19275,39968
242,2022-12-31,19919,41976
243,2023-01-31,20338,43354
244,2023-02-28,20721,44576
245,2023-03-31,21189,45949
246,2023-04-30,21329,46316
247,2023-05-31,21390,46398
248,2023-06-30,21433,46441
249,2023-07-31,21433,46441
250,2023-08-31,21434,46444
251,2023-09-30,21434,46444
252,2023-10-31,21434,46444
253,2023-11-30,21434,46444
254,2023-12-31,21435,46465
